",stars,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed"
"115,4.4,""40,687 Ratings "",19% off,""â‚¹11,490"",LG,5,7 kg,1350 rpm"
"116,4.2,""76,447 Ratings "",43% off,""â‚¹13,490"",realme TechLife,5,12 kg,1300 rpm"
"117,4.4,""27,218 Ratings "",25% off,""â‚¹10,970"",Whirlpool,5,7.5 kg,1400 rpm"
"118,4.3,""15,074 Ratings "",35% off,""â‚¹30,990"",SAMSUNG,5,8 kg,1400 rpm"
"119,4.1,""26,828 Ratings "",48% off,""â‚¹14,790"",realme TechLife,5,8 kg,700 RPM"
"120,4.2,""5,235 Ratings "",32% off,""â‚¹12,499"",Thomson,5,8 kg,840 rpm"
"121,4.1,""29,772 Ratings "",24% off,""â‚¹17,590"",Whirlpool,5,7.5 kg,740 rpm"
"122,4.4,371 Ratings ,31% off,""â‚¹17,090"",SAMSUNG,5,11.5 kg,1300 rpm"
"123,4.3,""54,410 Ratings "",46% off,""â‚¹6,990"",MarQ by Flipkart,5,6.5 kg,1350 rpm"
"124,4.3,""54,410 Ratings "",46% off,""â‚¹7,490"",MarQ by Flipkart,5,7 kg,1350 rpm"
"125,4.2,""1,008 Ratings "",62% off,""â‚¹6,789"",InnoQ,5,7 kg,1500 rpm"
"126,4.3,""1,258 Ratings "",28% off,""â‚¹35,990"",Haier,5,9 kg,1400 rpm"
"127,4.1,""19,754 Ratings "",30% off,""â‚¹8,999"",Thomson,5,8 kg,1400 RPM"
"128,4.3,""12,467 Ratings "",41% off,""â‚¹14,990"",Panasonic,5,7 kg,700 rpm"
"129,4.3,""14,730 Ratings "",28% off,""â‚¹14,990"",Voltas Beko,5,12 kg,1350 rpm"
"130,4.5,""5,680 Ratings "",30% off,""â‚¹13,990"",LG,5,8 kg,1300 rpm"
"131,4.2,82 Ratings ,26% off,""â‚¹23,500"",BOSCH,5,8 kg,680 RPM"
"132,4,158 Ratings ,58% off,""â‚¹14,990"",TCL,5,9.5 kg,1400 rpm"
"133,4.4,""27,218 Ratings "",24% off,""â‚¹12,490"",Whirlpool,5,8 kg,1400 rpm"
"134,4.2,""5,235 Ratings "",33% off,""â‚¹11,999"",Thomson,5,7.5 kg,840 rpm"
"135,4.2,""2,527 Ratings "",26% off,""â‚¹45,490"",BOSCH,5,10 kg,1200 RPM"
"136,4.3,""70,731 Ratings "",34% off,""â‚¹17,990"",LG,5,7 kg,740 rpm"
"137,4.3,""54,410 Ratings "",32% off,""â‚¹6,790"",MarQ by Flipkart,5,6 kg,1350 RPM"
"138,4.2,""13,077 Ratings "",48% off,""â‚¹12,290"",realme TechLife,5,8 kg,700 rpm"
"139,4.2,""22,155 Ratings "",19% off,""â‚¹15,890"",Whirlpool,5,7.5 kg,740 rpm"
"140,4.4,""27,218 Ratings "",23% off,""â‚¹13,290"",Whirlpool,5,8.5 kg,1400 rpm"
"141,4.2,""28,947 Ratings "",6% off,""â‚¹6,590"",ONIDA,9 kg,Pulsator Wash,No"
"142,4.1,""1,186 Ratings "",55% off,""â‚¹15,899"",Acer,5,7.5 kg,700 rpm"
"143,4.4,""22,254 Ratings "",30% off,""â‚¹26,990"",LG,5,7 kg,1200 RPM"
"144,4.4,742 Ratings ,31% off,""â‚¹37,990"",SAMSUNG,5,9 kg,1400 rpm"
"145,4.5,""5,680 Ratings "",30% off,""â‚¹13,990"",LG,5,8 kg,1300 rpm"
"146,4.2,""76,447 Ratings "",47% off,""â‚¹9,990"",realme TechLife,5,8.5 kg,1400 RPM"
"147,4.2,""28,947 Ratings "",10% off,""â‚¹6,490"",ONIDA,1,9 kg,780 RPM"
"148,4.2,""2,527 Ratings "",33% off,""â‚¹34,490"",BOSCH,5,8 kg,1400 rpm"
"149,4.3,""3,789 Ratings "",34% off,""â‚¹9,790"",Godrej,5,7 kg,1440 rpm"
"150,4.2,""2,527 Ratings "",33% off,""â‚¹35,490"",BOSCH,5,8 kg,1400 rpm"
"151,4.4,""22,254 Ratings "",5% off,""â‚¹37,990"",LG,5,9 kg,1400 rpm"
"152,4.2,""28,947 Ratings "",,""â‚¹5,800"",ONIDA,6.5 kg,Normal Pulsator Wash,No"
"153,4.4,""22,254 Ratings "",25% off,""â‚¹32,990"",LG,5,8 kg,1400 RPM"
"154,4.2,""5,235 Ratings "",32% off,""â‚¹12,499"",Thomson,5,8 kg,840 rpm"
"155,4.3,""3,789 Ratings "",34% off,""â‚¹10,490"",Godrej,5,7.5 kg,1440 rpm"
"156,4.1,""1,172 Ratings "",47% off,""â‚¹13,990"",Voltas Beko,5,7 kg,700 rpm"
"157,4.1,""19,754 Ratings "",33% off,""â‚¹9,999"",Thomson,10 kg,Pulsator,No"
"158,4.4,""39,827 Ratings "",26% off,""â‚¹14,990"",SAMSUNG,5,9.5 kg,1300 rpm"
"159,4.3,""2,379 Ratings "",32% off,""â‚¹11,548"",Lloyd,5,7.5 kg,1300 rpm"
"160,4.2,""5,235 Ratings "",25% off,""â‚¹15,999"",Thomson,5,11 kg,900 rpm"
"161,4.3,""8,264 Ratings "",39% off,""â‚¹8,190"",MOTOROLA,5,7 kg,1350 rpm"
"162,4.1,995 Ratings ,26% off,""â‚¹25,990"",Whirlpool,5,7 kg,1000 RPM"
"163,4.1,""19,754 Ratings "",27% off,""â‚¹11,990"",Thomson,11 kg,Pulsator,No"
"164,4.4,""27,218 Ratings "",25% off,""â‚¹10,970"",Whirlpool,5,7.5 kg,1400 rpm"
"165,4.3,""14,730 Ratings "",46% off,""â‚¹9,590"",Voltas Beko,5,7.5 kg,1350 rpm"
"166,4.3,""15,074 Ratings "",35% off,""â‚¹30,990"",SAMSUNG,5,8 kg,1400 rpm"
"167,4.2,""5,235 Ratings "",26% off,""â‚¹14,999"",Thomson,5,10 kg,900 rpm"
"168,4.4,""4,496 Ratings "",32% off,""â‚¹29,990"",LG,5,7 kg,1200 RPM"
"169,4.3,""14,730 Ratings "",32% off,""â‚¹16,490"",Voltas Beko,5,14 kg,1350 rpm"
"170,4.1,""29,772 Ratings "",21% off,""â‚¹22,990"",Whirlpool,5,9 kg,740 rpm"
"171,4.3,""14,730 Ratings "",33% off,""â‚¹13,690"",Voltas Beko,5,10 kg,1350 rpm"
"172,4.4,""4,496 Ratings "",32% off,""â‚¹35,990"",LG,5,9 kg,1200 RPM"
"173,4.2,""5,235 Ratings "",26% off,""â‚¹13,999"",Thomson,5,9 kg,900 rpm"
"174,4.4,205 Ratings ,23% off,""â‚¹32,990"",LG,5,10 kg,780 rpm"
"175,4.1,536 Ratings ,39% off,""â‚¹22,990"",Godrej,5,6 kg,1000 rpm"
"176,4.1,""19,754 Ratings "",26% off,""â‚¹9,499"",Thomson,9 kg,Pulsator,No"
"177,4.1,""19,754 Ratings "",26% off,""â‚¹8,499"",Thomson,5,8 kg,1400 RPM"
"178,4.2,""28,947 Ratings "",6% off,""â‚¹6,590"",ONIDA,9 kg,Pulsator Wash,No"
"179,4.3,""14,730 Ratings "",45% off,""â‚¹10,990"",Voltas Beko,5,8.5 kg,1350 rpm"
"180,4.3,""2,548 Ratings "",42% off,""â‚¹11,990"",Haier,5,8.5 kg,1300 RPM"
"181,4.2,903 Ratings ,56% off,""â‚¹19,490"",Voltas Beko,5,10 kg,700 rpm"
"182,4.1,312 Ratings ,29% off,""â‚¹5,300"",Voltas Beko,7.5 kg,Pulsator,No"
"183,4.3,""8,264 Ratings "",40% off,""â‚¹10,190"",MOTOROLA,5,8.5 kg,1350 rpm"
"184,4.4,""4,496 Ratings "",34% off,""â‚¹29,990"",LG,5,7 Kg,1200 RPM"
"185,4.3,188 Ratings ,23% off,""â‚¹27,990"",LG,5,9 kg,780 rpm"
"186,4.2,28 Ratings ,18% off,""â‚¹39,990"",SAMSUNG,5,7 kg,1200 rpm"
"187,4.3,""86,950 Ratings "",21% off,""â‚¹28,990"",IFB,5,7 kg,1200 RPM"
"188,4.2,""22,155 Ratings "",20% off,""â‚¹14,990"",Whirlpool,5,7 kg,740 rpm"
"189,4.3,""14,730 Ratings "",28% off,""â‚¹14,990"",Voltas Beko,5,12 kg,1350 rpm"
"190,4.4,""27,218 Ratings "",23% off,""â‚¹15,990"",Whirlpool,5,10 kg,1400 RPM"
"191,4.3,""14,730 Ratings "",36% off,""â‚¹7,990"",Voltas Beko,5,6.5 kg,1350 rpm"
"192,4.4,""1,197 Ratings "",26% off,""â‚¹16,125"",Whirlpool,5,11 kg,1400 rpm"
"193,4.3,""86,950 Ratings "",23% off,""â‚¹47,990"",IFB,5,10 kg,1400 RPM"
"194,4.4,""40,687 Ratings "",31% off,""â‚¹9,990"",LG,5,6 kg,1300 rpm"
"195,4.1,524 Ratings ,58% off,""â‚¹7,690"",FOXSKY,5,8.5 kg,1300 rpm"
"196,4.3,""14,860 Ratings "",11% off,""â‚¹15,775"",Whirlpool,5,6 kg,740 rpm"
"197,4.4,""5,476 Ratings "",26% off,""â‚¹24,990"",LG,5,6.5 kg,1000 rpm"
"198,4.3,""8,993 Ratings "",20% off,""â‚¹19,190"",SAMSUNG,5,7 kg,700 rpm"
"199,4.2,""6,171 Ratings "",25% off,""â‚¹13,290"",Godrej,5,6.5 kg,720 rpm"
"200,4.3,""70,731 Ratings "",16% off,""â‚¹17,490"",LG,5,7 kg,700 rpm"
"201,4.4,""4,496 Ratings "",35% off,""â‚¹34,990"",LG,5,9 Kg,1200 RPM"
"202,4.2,""1,485 Ratings "",32% off,""â‚¹18,150"",Whirlpool,5,7.5 kg,740 rpm"
"203,3.8,66 Ratings ,47% off,""â‚¹20,990"",TCL,5,7.5 kg,1400 rpm"
"204,4.5,75 Ratings ,30% off,""â‚¹6,990"",Midea,5,6.5 kg,1300 RPM"
"205,4.2,""1,790 Ratings "",42% off,""â‚¹10,990"",MarQ by Flipkart,5,6.5 kg,700 rpm"
"206,4.1,524 Ratings ,56% off,""â‚¹7,199"",FOXSKY,5,7.5 kg,1300 rpm"
"207,4.2,""2,527 Ratings "",39% off,""â‚¹30,990"",BOSCH,5,7 kg,1200 RPM"
"208,4.3,""1,165 Ratings "",35% off,""â‚¹11,490"",Lloyd,5,8 kg,1300 rpm"
"209,4.3,""8,264 Ratings "",40% off,""â‚¹9,490"",MOTOROLA,5,8 kg,1350 rpm"
"210,4.3,""2,548 Ratings "",36% off,""â‚¹11,990"",Haier,5,9 kg,1300 rpm"
"211,4.3,""86,950 Ratings "",25% off,""â‚¹44,690"",IFB,5,9 kg,1400 RPM"
"212,4.2,""1,170 Ratings "",37% off,""â‚¹37,990"",SAMSUNG,5,9 kg,1400 rpm"
"213,4.4,""27,218 Ratings "",22% off,""â‚¹16,990"",Whirlpool,5,11 kg,1400 RPM"
"214,4.1,""3,208 Ratings "",30% off,""â‚¹13,790"",Godrej,5,7 kg,720 RPM"
"215,4.1,""19,754 Ratings "",26% off,""â‚¹10,999"",Thomson,5,10 kg,1400 RPM"
"216,4.2,""2,527 Ratings "",40% off,""â‚¹29,990"",BOSCH,5,7 kg,1200 rpm"
"217,4.3,""1,258 Ratings "",28% off,""â‚¹35,990"",Haier,5,9 kg,1400 rpm"
"218,4.3,""2,548 Ratings "",40% off,""â‚¹11,290"",Haier,5,8 Kg,1300 rpm"
"219,4.3,""15,074 Ratings "",36% off,""â‚¹34,990"",SAMSUNG,5,9 kg,1400 rpm"
"220,4.3,""1,258 Ratings "",29% off,""â‚¹32,990"",Haier,5,8 kg,1200 rpm"
"221,4,158 Ratings ,58% off,""â‚¹14,990"",TCL,5,9.5 kg,1400 rpm"
"222,4,158 Ratings ,57% off,""â‚¹13,990"",TCL,4,8.5 kg,1200 rpm"
"223,4.4,58 Ratings ,25% off,""â‚¹27,490"",Panasonic,5,7 kg,1400 rpm"
"224,4.3,""2,548 Ratings "",30% off,""â‚¹14,990"",Haier,5,9 kg,1300 rpm"
"225,4.3,""2,548 Ratings "",32% off,""â‚¹16,490"",Haier,5,11 kg,1300 RPM"
"226,4.2,57 Ratings ,26% off,""â‚¹29,990"",Panasonic,5,8 kg,1400 rpm"
"227,4.3,""2,548 Ratings "",31% off,""â‚¹15,990"",Haier,5,10 kg,1300 rpm"
"228,4,191 Ratings ,43% off,""â‚¹13,940"",Whirlpool,5,9 kg,1400 rpm"
"229,4.3,""3,789 Ratings "",30% off,""â‚¹11,790"",Godrej,5,8 kg,1440 rpm"
"230,4.2,""41,167 Ratings "",37% off,""â‚¹16,990"",ONIDA,5,8 kg,700 rpm"
"231,3.9,,25% off,""â‚¹37,800"",SAMSUNG,5,7 kg,1200 RPM"
"232,4.3,""1,165 Ratings "",25% off,""â‚¹16,490"",Lloyd,5,11 kg,1300 RPM"
"233,4.3,""15,074 Ratings "",16% off,""â‚¹43,990"",SAMSUNG,5,12 kg,1400 RPM"
"234,4.3,""79,969 Ratings "",16% off,""â‚¹30,990"",SAMSUNG,5,10 kg,700 rpm"
